Times	for	small	unsorted	file	size:																											Averages:	Standard Deviation:			Averages:	Standard Deviation:
	QuickSort:	14	2	3	6	2	2	3	2	3	2	2	3	4	4	2	2	1	2	2	2	1	2	3	1	2	2	2	1	2	2	2.7	2.32594067		QuickSort	2.179497881	0.748667665
	MergeSort:	4	3	3	2	2	2	2	1	2	2	2	2	2	2	0	1	1	0	1	1	1	2	1	1	2	1	1	1	2	1	1.6	0.840634681		MergeSort	1.37287981	0.612147725
	HeapSort:	7	3	4	3	3	2	1	2	4	2	2	1	3	2	1	1	1	2	2	2	2	2	1	2	1	2	1	2	1	0	2.066666667	1.289271974		HeapSort	1.726997809	0.788822207
																																					
Times	for	medium	unsorted	file	size:																																
	QuickSort:	20	23	25	31	20	19	19	20	35	22	19	16	21	18	21	18	19	27	23	29	23	18	24	21	25	21	21	27	24	21	22.33333333	4.133870933		QuickSort	21.33811444	5.099170412
	MergeSort:	12	15	13	16	15	15	16	16	18	15	14	15	14	15	14	15	15	11	13	15	14	14	15	16	14	16	12	14	12	14	14.43333333	1.453348624		MergeSort	14.03166721	2.781174982
	HeapSort:	21	23	24	20	16	21	19	19	27	17	17	20	18	19	17	21	19	16	21	18	18	19	19	16	19	18	19	17	18	16	19.06666667	2.448582356		HeapSort	18.05411604	3.697983858
																																					
Times	for	large	unsorted	file	size:																																
	QuickSort:	401	430	387	367	472	369	514	387	323	492	361	327	458	435	446	410	409	359	331	482	336	470	328	327	343	476	427	451	487	425	407.6666667	58.03983307		QuickSort	396.8109464	88.10986887
	MergeSort:	222	226	261	268	274	291	307	364	299	278	297	298	295	277	295	288	270	297	288	298	297	286	327	289	283	286	322	258	332	279	288.4	27.38685816		MergeSort	285.3852449	53.75371591
	HeapSort:	356	355	452	370	392	507	420	406	403	398	497	413	401	454	354	398	385	506	397	408	483	392	367	494	385	409	397	440	475	541	421.8333333	50.22421948		HeapSort	414.073484	84.4486379
																																					
Times	for	small	sorted	files:																																	
	QuickSort:	3	2	3	3	2	2	3	3	6	3	3	2	4	3	3	3	3	3	2	3	4	3	71	3	3	2	2	2	3	4	5.2	12.24581561		QuickSort	5.801636272	12.69638371
	MergeSort:	1	2	1	1	2	3	1	2	2	2	2	2	1	1	1	1	1	2	2	1	3	2	2	1	1	2	1	2	1	1	1.566666667	0.61553951		MergeSort	1.577935935	0.63009757
	HeapSort:	2	2	2	2	2	2	1	1	2	2	3	2	2	2	2	2	1	2	1	2	2	2	3	1	2	1	2	1	1	2	1.8	0.54160256		HeapSort	1.726485806	0.599769083
																																					
Times	for	medium	sorted	files:																																	
	QuickSort:	66	72	64	63	94	66	91	136	72	111	82	77	145	75	68	121	67	67	57	64	60	70	69	104	75	63	101	62	67	101	81	22.76400668		QuickSort	81.02728595	25.36759045
	MergeSort:	16	17	17	16	11	15	49	18	16	13	17	18	13	17	17	15	17	18	18	15	43	19	17	13	16	15	12	17	18	12	17.83333333	7.836169699		MergeSort	17.66676797	8.309250447
	HeapSort:	21	24	23	22	19	29	19	27	22	20	26	30	21	25	31	22	31	26	24	21	19	24	25	21	20	24	20	22	24	18	23.33333333	3.543381938		HeapSort	22.74559697	5.178454376
																																					
Times	for	large	sorted	files:																																	
	QuickSort:	5241	5655	5040	4856	5147	4949	4973	5495	5438	5220	4743	5218	6020	5707	5586	6144	5929	5704	6113	6771	6640	6321	6197	6212	6253	6332	6328	6122	4958	4761	5669.1	588.5181022		QuickSort	5554.950647	1111.59008
	MergeSort:	272	248	292	240	245	250	249	312	257	244	236	263	347	289	412	383	332	298	265	349	310	379	394	274	351	309	441	271	227	259	299.9333333	57.31662547		MergeSort	296.5446414	73.18394599
	HeapSort:	395	372	370	525	370	377	369	423	407	378	371	377	457	434	430	517	542	424	601	507	617	485	504	491	466	440	570	472	381	412	449.4666667	71.71412382		HeapSort	440.8278854	98.90596424
																																					
Times	for	small	reverse-sorted	files:																																	
	QuickSort:	2	2	2	2	2	1	1	2	2	1	3	1	1	2	2	1	1	2	3	2	69	3	2	3	1	1	2	2	2	1	4.033333333	12.08162057		QuickSort	4.611248354	12.56106828
	MergeSort:	1	2	2	1	2	1	1	2	2	1	1	2	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1.366666667	0.48189441		MergeSort	1.316020038	0.485745202
	HeapSort:	1	2	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1.3	0.458257569		HeapSort	1.241366342	0.453252884
																																					
Times	for	medium	reverse-sorted	files:																																	
	QuickSort:	39	44	40	108	41	63	44	38	44	42	49	47	45	45	58	45	50	54	55	45	45	50	45	49	49	48	49	49	49	46	49.16666667	12.13832315		QuickSort	46.61803535	8.310805878
	MergeSort:	16	16	15	13	18	18	15	13	15	17	17	13	17	19	15	15	19	17	16	14	15	17	17	15	16	15	54	21	16	16	17.33333333	7.039570694		MergeSort	17.29903229	7.475716627
	HeapSort:	20	19	19	22	25	20	21	17	21	22	21	20	21	27	20	22	33	28	23	22	21	22	78	22	21	23	21	23	26	24	24.13333333	10.45540796		HeapSort	24.23531219	11.00636722
																																					
Times	for	large	reverse-sorted	files:																																	
	QuickSort:	3687	3689	3998	3900	3584	3547	3901	3989	3946	4001	3563	3538	3243	3228	3267	3174	3839	3713	4195	3534	3645	4923	3472	3319	3280	3486	3664	3704	3719	3573	3677.366667	346.1410583		QuickSort	3538.232419	707.0269761
	MergeSort:	284	240	292	305	308	294	269	304	291	292	272	316	265	238	243	270	329	297	276	263	238	304	238	247	274	322	270	364	304	278	282.9	29.78629439		MergeSort	274.2387962	55.47520274
	HeapSort:	399	380	488	387	446	433	418	425	398	412	462	415	355	402	353	354	429	399	444	402	361	460	377	374	352	467	414	453	477	374	410.3333333	38.87872883		HeapSort	396.6147165	78.01796181
